AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
0.62,3.14,12.64,0.04,0.34,0.01,1721200929948
3.46,2.26,13.16,-0.13,0.19,-0.31,1721200929958
-1.76,0.35,16.18,0.0,-0.25,-0.26,1721200929968
-5.98,-0.13,3.52,0.05,0.01,-0.12,1721200929978
0.08,-6.08,13.1,-0.22,0.42,0.11,1721200929988
0.3,1.2,16.45,0.01,-0.05,0.07,1721200929998
-1.41,3.22,2.6,0.06,-0.05,-0.15,1721200930008
-0.97,0.04,15.05,-0.11,0.38,-0.26,1721200930018
-0.69,-1.67,8.88,0.24,-0.07,0.03,1721200930028
1.92,-1.29,15.43,-0.09,0.35,0.16,1721200930038
0.86,2.63,11.6,0.2,-0.25,-0.04,1721200930048
0.72,3.34,13.19,-0.09,0.42,-0.22,1721200930058
-0.49,0.79,12.01,0.15,-0.23,-0.07,1721200930068
-3.05,-6.89,-0.18,-0.06,-0.07,-0.01,1721200930078
-0.49,-0.04,14.95,0.03,0.57,-0.21,1721200930088
1.83,8.24,20.51,0.17,0.24,-0.15,1721200930098
-3.2,2.5,9.63,0.12,-0.22,-0.06,1721200930108
-2.82,-5.6,4.76,0.07,0.07,0.14,1721200930118
1.85,1.96,10.2,0.1,0.17,0.25,1721200930128
1.21,8.87,13.79,0.06,-0.16,-0.17,1721200930138
-2.17,1.77,5.47,0.22,-0.36,-0.12,1721200930148
-3.23,-7.69,5.45,-0.14,0.4,-0.09,1721200930158
-2.94,3.8,13.19,0.19,-0.17,0.2,1721200930168
1.13,5.19,2.64,0.02,0.07,0.34,1721200930178
4.4,6.52,18.7,0.09,0.22,-0.04,1721200930188
2.92,-3.25,9.25,0.08,-0.11,-0.24,1721200930198
-4.95,-0.66,5.48,-0.08,-0.21,-0.14,1721200930208
-3.75,5.94,11.35,0.06,0.08,0.17,1721200930218
1.79,3.15,9.59,0.03,0.17,0.22,1721200930228
2.77,-0.76,16.13,0.01,0.01,-0.1,1721200930238
-1.13,0.91,6.14,0.02,-0.2,-0.21,1721200930248
-3.03,0.44,13.43,-0.06,-0.09,0.13,1721200930258
-3.62,3.66,3.37,0.12,-0.13,0.15,1721200930268
-0.32,0.4,9.88,-0.24,0.07,0.15,1721200930278
0.84,0.25,15.96,0.02,-0.16,-0.03,1721200930288
-2.38,-5.31,4.63,-0.2,-0.32,0.04,1721200930298
-2.39,-0.18,12.37,-0.12,-0.04,0.12,1721200930308
0.72,-1.06,14.82,-0.09,0.03,0.14,1721200930318
0.06,2.83,13.38,0.23,-0.27,0.36,1721200930328
1.92,-7.87,1.39,-0.3,-0.11,0.1,1721200930338
-1.32,1.4,12.62,-0.04,-0.39,-0.11,1721200930348
-0.88,-0.41,7.53,-0.01,0.01,0.07,1721200930358
-0.86,2.14,13.4,-0.01,-0.02,0.26,1721200930368
-0.79,3.12,4.25,0.12,-0.36,0.3,1721200930378
7.04,-5.37,10.64,-0.22,0.32,-0.06,1721200930388
4.17,0.99,17.36,0.0,-0.34,-0.33,1721200930398
-2.28,5.5,9.12,-0.01,-0.18,-0.16,1721200930408
-3.43,4.28,5.81,-0.06,0.02,-0.0,1721200930418
1.06,-3.68,13.83,-0.06,0.09,-0.03,1721200930428
3.13,-7.53,10.23,0.02,-0.01,-0.11,1721200930438
-1.85,6.78,9.53,0.01,-0.04,-0.14,1721200930448
-0.92,5.32,14.47,-0.04,0.04,-0.09,1721200930458
3.24,-3.56,10.52,0.08,-0.09,0.07,1721200930468
1.85,0.58,2.42,0.1,-0.02,-0.35,1721200930478
-1.3,-2.0,10.89,-0.23,0.08,-0.4,1721200930488
-3.95,4.12,24.07,0.17,0.0,-0.27,1721200930498
-1.34,-4.31,4.53,0.12,-0.11,0.3,1721200930508
2.11,5.81,10.18,0.15,0.25,0.12,1721200930518
5.41,-0.63,7.62,0.05,0.1,-0.48,1721200930528
-2.77,7.63,18.06,0.22,0.02,-0.44,1721200930538
-3.29,-4.42,3.3,0.12,0.06,-0.33,1721200930548
-1.94,-5.06,11.18,-0.07,0.12,0.17,1721200930558
0.92,0.87,6.59,0.12,0.04,-0.01,1721200930568
2.79,7.28,18.23,0.08,0.32,-0.34,1721200930578
1.67,5.71,6.61,0.36,-0.04,-0.22,1721200930588
0.85,-1.5,17.59,-0.16,0.46,-0.39,1721200930598
-1.4,-1.31,7.45,0.31,-0.15,-0.13,1721200930608
-2.66,2.01,4.15,-0.19,0.33,-0.25,1721200930618
-1.57,1.54,19.77,0.14,0.11,-0.11,1721200930628
-0.05,-0.07,9.71,0.21,0.14,0.04,1721200930638
2.11,7.08,5.25,0.23,0.21,-0.07,1721200930648
2.83,0.22,4.2,-0.04,0.11,-0.42,1721200930658
-2.01,-4.47,15.73,-0.29,0.12,-0.49,1721200930668
-5.78,-0.39,8.82,0.15,-0.15,-0.08,1721200930678
-3.63,0.48,2.25,0.0,0.27,0.06,1721200930688
0.62,-2.44,10.93,-0.09,0.15,0.0,1721200930698
2.16,1.91,20.24,-0.02,0.29,-0.19,1721200930708
0.09,5.49,3.78,0.18,-0.07,-0.35,1721200930718
-1.65,-2.15,12.27,-0.23,0.42,-0.33,1721200930728
-1.33,-1.56,15.94,0.22,0.07,-0.04,1721200930738
-0.37,-5.76,1.35,-0.08,-0.03,-0.02,1721200930748
-6.31,5.61,8.1,0.09,-0.18,-0.08,1721200930758
0.5,-1.37,6.34,-0.1,0.41,-0.01,1721200930768
-0.36,2.61,17.4,0.16,0.04,-0.17,1721200930778
-0.94,0.92,-2.82,0.15,-0.03,0.03,1721200930788
1.28,-5.14,13.84,-0.45,0.39,-0.03,1721200930798
-2.92,1.05,29.17,0.14,-0.38,0.04,1721200930808
-3.21,7.05,2.79,0.25,-0.16,-0.04,1721200930818
-1.21,-4.88,6.58,-0.16,0.31,0.07,1721200930828
-0.05,-0.33,8.72,0.06,-0.02,0.28,1721200930838
2.75,3.17,13.86,-0.07,0.12,-0.02,1721200930848
0.77,4.06,13.04,0.23,-0.16,-0.27,1721200930858
-2.16,-5.24,3.86,-0.11,-0.12,-0.05,1721200930868
-3.39,-1.92,15.16,-0.08,-0.02,0.23,1721200930878
0.66,0.08,9.62,0.04,0.01,0.02,1721200930888
-0.66,2.1,8.9,0.06,-0.1,-0.17,1721200930898
-1.54,-2.86,9.14,-0.11,0.17,-0.16,1721200930908
-0.44,0.74,7.01,0.15,-0.25,0.05,1721200930918
1.54,-2.84,8.07,-0.19,0.42,0.09,1721200930928
2.98,0.53,24.72,0.09,0.07,-0.1,1721200930938
-4.34,3.11,2.55,0.15,-0.32,-0.24,1721200930948
-6.16,-1.7,11.89,-0.16,0.03,0.02,1721200930958
-0.93,-1.99,7.5,0.27,-0.18,0.34,1721200930968
3.71,-0.6,11.91,-0.13,0.38,0.09,1721200930978
2.59,4.78,16.85,0.21,-0.18,-0.15,1721200930988
-1.94,3.36,5.84,0.04,-0.24,-0.2,1721200930998
-3.84,-2.08,10.44,0.02,-0.1,0.24,1721200931008
0.22,4.82,8.95,0.09,0.12,0.32,1721200931018
3.13,5.21,15.04,-0.09,-0.04,-0.07,1721200931028
0.51,-3.27,9.27,-0.04,-0.24,-0.12,1721200931038
-4.98,-2.3,0.79,-0.24,-0.33,-0.09,1721200931048
-4.2,7.3,18.34,0.0,0.08,0.1,1721200931058
2.26,4.82,11.21,0.21,-0.03,0.37,1721200931068
2.97,-4.3,6.02,-0.29,-0.09,0.19,1721200931078
-1.28,4.66,15.7,0.04,-0.16,-0.38,1721200931088
-1.16,0.18,2.62,-0.07,-0.21,-0.06,1721200931098
-3.8,-0.64,21.87,-0.1,-0.04,0.31,1721200931108
-0.02,2.75,7.55,0.23,-0.21,0.34,1721200931118
1.23,-4.01,-2.33,-0.26,-0.39,0.04,1721200931128
-0.94,1.81,18.58,-0.2,0.0,-0.19,1721200931138
-2.63,3.48,10.04,0.2,-0.22,-0.07,1721200931148
-0.98,-6.1,5.32,-0.24,-0.16,0.26,1721200931158
0.09,-3.04,14.64,-0.08,-0.19,0.2,1721200931168
5.17,-1.99,11.54,-0.05,-0.09,0.15,1721200931178
4.63,3.66,10.41,0.06,-0.19,-0.26,1721200931188
0.36,-0.01,6.34,0.07,-0.19,-0.21,1721200931198
-1.79,2.18,21.97,-0.11,0.19,-0.13,1721200931208
-0.91,1.9,7.46,0.18,-0.24,0.03,1721200931218
-0.73,2.91,4.06,-0.08,0.0,-0.25,1721200931228
3.65,-5.41,16.02,-0.1,0.01,-0.21,1721200931238
0.77,-1.55,10.61,0.05,-0.25,0.05,1721200931248
-0.91,7.19,10.04,0.18,0.01,-0.09,1721200931258
3.5,0.4,6.5,-0.01,0.12,-0.41,1721200931268
-0.59,-9.46,5.6,-0.31,-0.3,-0.39,1721200931278
-5.53,5.68,19.95,0.11,-0.03,-0.18,1721200931288
0.65,7.51,8.19,0.35,0.12,0.09,1721200931298
4.64,-8.33,3.64,-0.1,0.06,0.24,1721200931308
2.01,-3.47,14.27,-0.05,-0.04,-0.35,1721200931318
0.64,4.26,15.67,0.04,0.18,-0.55,1721200931328
-2.72,3.85,8.54,0.15,-0.12,-0.34,1721200931338
-0.06,-1.46,6.39,0.14,0.18,0.07,1721200931348
4.13,-4.63,9.41,-0.04,0.25,-0.24,1721200931358
-0.2,5.12,17.54,0.18,0.01,-0.43,1721200931368
-2.01,4.61,9.94,0.09,0.19,-0.4,1721200931378
-1.47,1.56,10.83,0.19,0.0,-0.08,1721200931388
2.94,-4.12,1.46,-0.03,0.25,-0.06,1721200931398
1.82,0.68,17.1,-0.01,0.24,-0.47,1721200931408
-1.13,7.98,13.76,0.28,0.13,-0.54,1721200931418
-3.67,10.96,3.44,0.31,0.18,-0.24,1721200931428
0.0,-3.65,1.17,-0.1,0.31,-0.08,1721200931438
1.18,-4.1,23.47,-0.13,0.3,-0.23,1721200931448
0.62,8.03,9.16,0.45,0.02,-0.18,1721200931458
-0.15,3.48,3.78,-0.24,0.4,-0.31,1721200931468
-2.87,-2.84,15.66,0.13,-0.09,-0.21,1721200931478
-1.45,0.64,4.2,0.17,0.18,-0.02,1721200931488
2.29,2.73,7.55,-0.0,0.39,-0.19,1721200931498
-0.65,5.34,14.78,0.06,0.13,-0.29,1721200931508
-1.51,-1.1,11.79,0.03,0.19,-0.25,1721200931518
-1.22,-1.37,10.4,-0.06,0.34,-0.2,1721200931528
1.49,-2.36,16.79,-0.05,0.27,-0.11,1721200931538
-1.09,4.2,6.41,0.21,-0.11,-0.25,1721200931548
-1.57,1.12,1.16,-0.08,0.26,-0.26,1721200931558
0.05,3.78,20.0,0.04,0.41,-0.17,1721200931568
1.4,-7.21,5.26,-0.04,0.07,-0.11,1721200931578
-3.63,-0.37,14.48,-0.16,-0.01,-0.16,1721200931588
-0.33,1.16,6.89,0.19,0.21,-0.24,1721200931598
-1.26,-2.72,6.62,-0.24,0.13,-0.26,1721200931608
-3.57,-2.23,11.73,0.05,-0.07,0.04,1721200931618
-2.03,-2.1,5.09,-0.19,0.0,0.18,1721200931628
-1.98,4.4,18.15,0.01,0.11,-0.17,1721200931638
-1.12,0.46,1.27,0.01,-0.01,-0.37,1721200931648
-0.93,-3.91,18.48,-0.3,0.57,-0.06,1721200931658
-1.81,2.23,12.14,0.26,-0.1,0.23,1721200931668
-1.35,1.48,-1.34,-0.36,0.26,0.1,1721200931678
-2.3,6.89,16.21,0.29,-0.44,-0.15,1721200931693
1.61,2.87,10.77,0.29,-0.23,-0.16,1721200931697
-5.19,-4.38,-0.36,-0.28,-0.07,-0.47,1721200931707
-6.83,-3.09,24.5,0.01,0.03,-0.02,1721200931717
-2.0,12.34,6.6,0.55,-0.07,0.27,1721200931727
1.39,-4.75,-0.44,-0.27,0.0,0.19,1721200931737
-6.05,-5.81,17.08,0.07,-0.27,-0.01,1721200931747
-1.64,2.51,12.34,0.12,0.14,-0.27,1721200931757
-3.03,2.2,11.09,0.05,-0.05,-0.12,1721200931767
-3.71,-6.77,9.68,-0.12,-0.12,0.29,1721200931777
-1.04,4.48,14.8,0.33,-0.07,0.39,1721200931787
5.63,1.36,-1.35,0.16,-0.01,0.23,1721200931797
9.4,6.65,18.81,-0.16,0.05,-0.05,1721200931807
3.03,7.94,12.54,0.48,-0.16,-0.1,1721200931817
0.69,3.3,-0.9,0.07,-0.17,-0.09,1721200931827
-2.34,-3.1,12.4,-0.15,-0.11,-0.19,1721200931837
-4.26,2.09,15.98,0.15,-0.25,0.23,1721200931847
-1.25,4.89,3.48,0.11,-0.28,0.5,1721200931857
2.41,2.44,7.96,-0.11,0.09,0.21,1721200931867
3.66,-4.76,9.59,-0.12,-0.15,-0.4,1721200931877
-2.51,6.54,13.38,0.22,-0.08,-0.23,1721200931887
-1.4,0.45,7.24,-0.12,0.11,-0.07,1721200931897
-2.72,-0.25,19.62,0.08,-0.15,0.29,1721200931907
3.28,-0.38,4.39,0.13,0.04,0.24,1721200931917
4.38,-0.27,13.75,-0.13,0.06,-0.24,1721200931927
-1.36,1.47,16.38,0.01,-0.24,-0.53,1721200931937
-5.41,3.1,9.7,0.22,-0.12,-0.19,1721200931947
-2.09,-6.95,-0.79,-0.15,-0.05,0.18,1721200931957
2.65,-5.06,14.28,-0.21,0.17,0.08,1721200931967
2.84,1.66,6.05,-0.01,-0.27,-0.39,1721200931977
-1.73,3.38,14.74,-0.13,0.1,-0.43,1721200931987
-1.62,-1.85,1.45,0.11,-0.11,-0.13,1721200931997
-0.6,-5.51,6.06,-0.28,0.23,0.04,1721200932007
1.78,-3.68,27.93,-0.18,0.28,-0.34,1721200932017
-0.82,6.68,14.66,0.37,0.02,-0.26,1721200932027
-0.96,7.64,-2.19,-0.01,0.17,-0.29,1721200932037
7.66,-1.37,15.61,-0.41,0.38,-0.14,1721200932047
1.65,-1.21,15.75,0.08,-0.03,-0.14,1721200932057
-0.11,1.79,1.77,-0.19,0.09,-0.42,1721200932067
-3.32,-5.32,7.35,-0.26,0.02,-0.4,1721200932077
-3.23,-2.68,14.73,0.02,0.19,-0.05,1721200932087
1.23,3.13,4.81,-0.02,0.33,0.02,1721200932097
0.11,4.57,12.23,0.11,-0.05,-0.05,1721200932107
3.43,12.95,14.38,0.31,0.57,-0.44,1721200932117
0.99,-4.14,8.22,0.05,0.02,-0.55,1721200932127
-8.24,-0.58,16.7,0.08,-0.06,-0.13,1721200932137
-2.98,-2.45,5.69,0.2,0.27,0.24,1721200932147
2.25,-1.91,7.05,-0.05,0.25,0.24,1721200932157
1.32,6.86,12.65,0.23,0.04,-0.17,1721200932167
3.06,3.0,5.38,0.03,0.22,-0.22,1721200932177
-1.06,3.83,10.22,0.22,0.05,-0.33,1721200932187
-0.19,-6.1,7.7,-0.12,0.33,-0.16,1721200932196
-0.79,-1.78,20.19,0.05,0.1,0.12,1721200932206
-0.86,8.33,10.86,0.41,0.02,0.03,1721200932216
1.85,10.1,-0.71,0.35,0.33,-0.08,1721200932226
2.59,2.77,-3.19,-0.08,0.22,-0.18,1721200932236
4.5,0.47,13.17,-0.29,0.42,-0.36,1721200932246
0.46,-1.49,16.36,-0.01,0.26,-0.36,1721200932256
-6.96,3.44,2.66,0.17,-0.08,-0.13,1721200932266
-1.03,-0.46,5.93,-0.45,0.4,0.28,1721200932276
2.47,1.76,21.92,0.11,0.24,-0.15,1721200932286
1.73,4.3,8.01,0.28,0.1,-0.3,1721200932296
-1.86,4.03,0.75,-0.04,0.24,-0.26,1721200932306
0.31,-6.65,14.85,-0.26,0.58,-0.24,1721200932316
1.01,0.03,26.18,0.18,0.31,-0.04,1721200932326
-0.97,6.58,-0.18,0.29,-0.13,-0.22,1721200932336
-2.68,-0.06,4.07,-0.2,0.48,-0.31,1721200932346
-0.47,-4.43,6.33,-0.21,0.32,-0.01,1721200932356
1.25,-6.2,21.01,-0.23,0.41,-0.11,1721200932366
-0.35,9.05,12.11,0.42,0.03,-0.21,1721200932376
-0.1,-4.85,2.39,-0.46,0.29,-0.22,1721200932386
-7.23,-4.62,24.95,0.02,-0.31,0.1,1721200932396
-0.79,-5.17,7.35,0.06,0.29,0.17,1721200932406
0.76,-3.34,2.92,-0.11,0.07,0.08,1721200932416
-3.79,5.37,13.64,-0.18,0.26,-0.37,1721200932426
-1.13,0.61,5.01,0.09,0.1,-0.01,1721200932436
1.38,-8.46,14.31,-0.27,0.5,-0.02,1721200932446
-0.41,0.74,14.09,0.07,0.12,-0.05,1721200932456
-2.6,4.27,12.7,-0.1,0.24,-0.1,1721200932466
-3.71,0.94,5.89,0.05,-0.1,0.11,1721200932476
-2.22,-0.23,11.84,-0.08,0.33,0.33,1721200932486
5.32,0.93,19.56,0.19,0.17,0.26,1721200932496
5.12,-0.93,10.33,-0.05,-0.04,-0.17,1721200932506
-5.59,6.31,5.5,0.04,-0.26,-0.34,1721200932516
-7.05,-3.34,9.81,-0.06,0.52,-0.09,1721200932526
-0.43,-5.08,15.43,0.11,0.17,0.43,1721200932536
1.04,8.88,8.65,0.18,0.07,0.31,1721200932546
3.89,0.39,4.15,-0.12,0.02,-0.06,1721200932556
-4.0,3.73,19.53,0.07,0.25,-0.36,1721200932566
-4.26,0.87,3.63,0.34,0.05,-0.17,1721200932576
-2.85,-5.66,4.07,-0.26,0.17,0.28,1721200932586
-2.81,9.52,16.46,0.27,-0.21,0.49,1721200932596
4.08,0.31,2.77,-0.07,0.14,0.29,1721200932606
0.28,2.43,18.94,-0.03,-0.16,-0.13,1721200932616
-2.15,-5.71,-1.11,0.02,0.0,-0.22,1721200932626
-5.31,2.43,12.0,-0.2,0.44,-0.04,1721200932636
-2.56,4.17,9.52,0.14,-0.09,0.23,1721200932646
0.93,0.51,12.42,-0.05,0.26,0.43,1721200932656
3.39,-0.55,10.23,0.08,-0.13,0.28,1721200932666
0.93,5.94,15.78,-0.03,0.07,-0.17,1721200932676
-3.39,-4.25,4.7,-0.18,-0.32,0.05,1721200932686
-9.6,-0.9,10.7,-0.21,-0.15,0.43,1721200932696
-1.46,-2.01,6.23,0.03,0.04,0.6,1721200932706
5.2,-0.73,14.49,-0.22,0.1,0.63,1721200932716
6.47,6.34,12.29,0.16,-0.24,0.22,1721200932726
3.37,3.84,8.76,-0.06,0.07,-0.18,1721200932736
-1.3,-1.51,16.01,-0.08,-0.03,0.04,1721200932746
-4.12,-4.23,9.77,-0.09,-0.16,0.3,1721200932756
-3.37,2.0,14.93,-0.07,-0.12,0.43,1721200932766
-0.25,1.47,1.77,-0.01,-0.36,0.43,1721200932776
3.08,2.09,13.38,-0.22,0.07,0.2,1721200932786
6.51,-0.93,13.72,0.08,-0.18,-0.05,1721200932796
0.61,-3.31,5.18,-0.06,-0.16,-0.18,1721200932806
-5.87,2.61,10.3,-0.06,-0.16,0.04,1721200932816
-1.49,-0.86,13.65,-0.06,-0.07,0.33,1721200932826
4.13,-1.25,12.83,0.1,-0.06,0.38,1721200932836
5.55,-1.3,7.28,-0.02,-0.19,0.06,1721200932846
-0.75,6.92,9.15,0.03,-0.2,-0.44,1721200932856
-1.89,-4.65,11.06,-0.2,0.02,-0.37,1721200932866
-3.65,0.26,6.8,0.09,-0.28,0.37,1721200932876
1.29,-2.87,8.89,-0.24,0.27,-0.06,1721200932886
-0.05,1.98,16.06,0.09,-0.27,0.05,1721200932896
2.09,1.11,13.52,0.01,0.1,-0.07,1721200932906
0.62,5.38,10.82,0.12,0.03,-0.22,1721200932916
-2.03,2.53,7.07,0.06,-0.27,-0.07,1721200932926
-0.22,1.83,8.33,0.04,0.17,-0.1,1721200932936
0.73,-3.54,11.37,0.01,-0.04,0.01,1721200932946
-0.72,2.66,7.82,0.12,-0.05,0.13,1721200932956
1.13,2.76,11.35,0.01,0.0,-0.1,1721200932966
2.24,1.85,11.47,0.24,-0.13,-0.0,1721200932976
2.04,-1.87,1.81,-0.08,0.04,-0.13,1721200932986
-1.71,-1.95,18.23,-0.08,0.02,-0.28,1721200932996
-2.66,2.88,5.25,0.33,-0.04,0.06,1721200933006
1.27,6.21,12.15,-0.0,0.35,0.12,1721200933016
3.19,10.27,9.22,0.36,-0.11,0.01,1721200933026
5.06,-1.82,9.64,-0.25,0.24,-0.41,1721200933036
-0.87,2.31,13.83,0.29,-0.19,-0.4,1721200933046
-4.56,2.95,0.0,-0.03,0.14,-0.24,1721200933056
-4.55,0.7,14.07,-0.15,0.1,0.03,1721200933066
0.21,-4.62,6.91,0.03,-0.09,0.19,1721200933076
1.15,3.32,9.77,-0.01,0.21,-0.03,1721200933086
1.76,1.65,11.52,0.01,0.14,-0.25,1721200933096
-1.17,-2.1,8.57,-0.11,0.0,-0.31,1721200933106
-1.98,0.94,16.29,-0.03,0.11,0.04,1721200933116
0.55,4.2,11.03,0.17,0.05,-0.04,1721200933126
0.59,-0.45,11.03,-0.0,0.08,-0.27,1721200933136
-2.41,0.7,8.0,0.07,-0.07,-0.18,1721200933146
-0.53,-6.21,6.04,-0.31,0.08,-0.01,1721200933156
-3.85,4.32,14.24,0.08,-0.33,-0.23,1721200933166
-2.26,-3.37,-0.41,0.02,0.03,-0.11,1721200933176
-0.99,-6.56,13.33,-0.3,0.27,-0.09,1721200933186
-1.26,4.53,11.57,0.2,-0.07,-0.08,1721200933196
0.28,-0.93,9.95,-0.3,0.19,-0.06,1721200933206
-1.35,3.1,22.12,0.18,-0.11,0.01,1721200933216
-0.3,-3.12,3.23,-0.02,-0.18,0.04,1721200933226
-3.16,2.5,11.91,-0.16,-0.16,0.02,1721200933236
-1.77,-1.02,-0.14,0.02,-0.21,-0.08,1721200933246
-0.86,-8.18,7.74,-0.53,0.32,-0.03,1721200933256
-2.0,-0.96,21.26,0.0,-0.07,-0.11,1721200933266
-1.9,-1.32,5.27,-0.09,-0.22,0.04,1721200933276
-1.95,3.49,18.71,-0.08,0.29,-0.12,1721200933286
-0.21,1.56,4.69,0.13,-0.28,0.06,1721200933296
-0.96,-7.75,6.1,-0.31,0.06,0.12,1721200933306
1.92,-1.51,27.48,0.26,0.07,0.03,1721200933316
0.07,4.92,1.18,0.46,-0.38,0.06,1721200933326
2.82,7.66,13.77,-0.14,0.3,-0.04,1721200933336
-0.56,4.9,16.02,0.37,-0.25,-0.13,1721200933346
-1.61,-6.93,-1.37,-0.07,-0.17,0.1,1721200933356
-2.7,0.92,15.15,0.12,0.01,0.05,1721200933366
-0.21,5.6,3.61,0.43,-0.29,0.21,1721200933376
2.12,5.82,10.87,-0.13,0.39,0.13,1721200933386
2.81,-0.28,15.01,0.09,-0.25,-0.02,1721200933396
0.09,-0.2,9.48,0.01,-0.17,-0.11,1721200933406
0.91,5.77,14.56,0.21,-0.03,-0.2,1721200933416
0.73,-0.59,9.31,0.07,-0.14,-0.09,1721200933426
-0.98,2.72,10.87,0.31,-0.29,0.21,1721200933436
1.24,-7.2,4.7,-0.23,-0.11,0.05,1721200933446
-5.13,11.58,14.79,0.35,-0.57,-0.11,1721200933456
0.16,-0.79,-2.89,-0.21,0.23,-0.16,1721200933466
-4.17,-6.3,14.28,-0.2,-0.25,0.16,1721200933476
1.09,-2.53,12.5,0.1,0.15,0.25,1721200933486
4.9,4.82,19.32,0.05,0.01,-0.0,1721200933496
1.5,3.7,12.07,0.18,-0.58,-0.15,1721200933506
0.64,-0.87,7.35,-0.16,0.09,-0.33,1721200933516
-0.31,-3.99,4.09,-0.01,-0.37,-0.23,1721200933526
-4.45,-1.33,7.56,-0.14,-0.02,-0.35,1721200933536
-3.33,0.81,10.77,0.26,0.05,-0.33,1721200933546
-3.93,-0.47,7.09,-0.11,-0.11,-0.01,1721200933556
-0.89,0.9,20.73,-0.05,-0.05,0.26,1721200933566
3.86,1.57,10.26,0.13,-0.05,0.0,1721200933576
1.07,3.58,6.5,-0.16,-0.08,-0.61,1721200933586
-5.72,-1.33,6.94,-0.11,-0.39,-0.72,1721200933596
-6.65,-3.13,10.53,0.03,0.04,0.04,1721200933606
-0.11,-2.87,11.97,-0.05,0.01,0.42,1721200933616
2.42,6.49,8.94,0.24,-0.32,0.23,1721200933626
7.1,7.49,13.12,-0.11,0.44,-0.29,1721200933636
3.59,2.24,20.55,-0.02,-0.23,-0.76,1721200933646
-4.37,0.03,6.05,0.1,-0.26,-0.54,1721200933656
-3.47,-0.07,5.62,-0.1,0.12,-0.17,1721200933666
-1.65,4.41,10.26,0.13,-0.15,-0.02,1721200933676
-0.41,3.75,1.85,0.07,0.0,-0.06,1721200933686
4.47,-3.79,21.14,-0.35,0.32,-0.26,1721200933701
2.11,-1.97,23.75,-0.01,0.3,-0.27,1721200933705
2.25,-0.95,0.75,0.27,-0.14,-0.53,1721200933715
-4.92,1.83,14.99,-0.24,0.42,-0.67,1721200933725
-4.67,5.55,14.14,0.32,0.12,-0.37,1721200933735
-0.5,-6.23,3.65,-0.1,0.03,-0.1,1721200933745
-3.17,0.34,9.87,0.04,0.02,-0.12,1721200933755
1.74,-1.2,10.02,-0.06,0.42,-0.33,1721200933765
-0.17,2.74,14.6,0.16,-0.19,-0.22,1721200933775
-2.2,4.67,0.93,0.24,0.18,-0.26,1721200933785
1.76,-5.26,7.74,-0.38,0.36,-0.25,1721200933795
-2.38,2.52,24.26,-0.11,-0.16,-0.1,1721200933805
-1.38,2.94,7.49,0.19,0.09,-0.15,1721200933815
0.41,2.21,10.18,0.05,0.43,-0.34,1721200933825
-2.11,0.87,0.2,0.14,-0.09,-0.24,1721200933835
-3.17,-2.49,9.84,-0.39,0.47,-0.24,1721200933845
0.15,5.02,22.05,0.31,0.21,-0.07,1721200933855
1.78,-3.5,-2.56,-0.04,0.0,-0.11,1721200933865
-3.98,1.07,20.64,-0.06,0.39,-0.34,1721200933875
-0.75,6.15,8.27,0.4,0.15,-0.32,1721200933885
-1.73,-3.05,8.13,-0.4,0.27,-0.19,1721200933895
-4.64,-1.7,14.57,0.16,-0.11,0.09,1721200933905
0.67,-5.77,0.03,-0.0,0.39,0.19,1721200933915
2.12,3.61,19.01,0.06,0.19,0.09,1721200933925
2.09,7.13,10.41,0.43,0.0,-0.21,1721200933935
-0.03,-3.09,8.0,-0.33,0.19,-0.36,1721200933945
-3.93,-1.85,15.24,-0.0,-0.09,-0.16,1721200933955
-1.54,-1.03,12.75,0.03,0.4,-0.0,1721200933965
-0.56,3.21,3.07,0.26,-0.15,0.29,1721200933975
-2.78,3.5,0.34,-0.22,0.25,-0.09,1721200933985
0.02,-1.95,19.34,-0.14,0.34,-0.13,1721200933995
-1.04,-3.64,8.4,0.05,-0.1,0.16,1721200934005
1.59,3.39,15.41,-0.01,0.41,0.22,1721200934015
3.12,0.05,5.15,0.03,-0.09,-0.05,1721200934025
-2.6,0.31,15.82,-0.12,0.23,-0.26,1721200934035
-1.62,1.46,8.66,0.27,0.15,-0.07,1721200934045
2.05,-2.4,14.93,-0.31,0.43,0.02,1721200934055
-1.16,9.59,15.1,0.4,-0.32,0.13,1721200934065
0.48,-0.15,-1.48,-0.15,0.18,0.11,1721200934075
-2.26,-1.62,19.06,-0.03,-0.04,0.02,1721200934085
-1.99,-3.33,2.47,0.05,-0.12,0.01,1721200934095
-1.06,-3.42,13.75,-0.37,0.34,0.13,1721200934105
2.48,5.39,22.8,0.28,0.15,0.11,1721200934115
3.8,3.0,5.01,0.03,0.15,-0.1,1721200934125
-0.3,0.67,7.66,-0.1,-0.13,-0.22,1721200934135
-2.96,-2.0,10.37,-0.02,0.05,-0.03,1721200934145
-1.94,2.83,13.47,0.09,0.15,0.09,1721200934155
-0.57,1.3,12.35,-0.05,0.08,0.06,1721200934165
-0.07,-0.03,8.57,0.11,-0.18,0.11,1721200934175
2.84,0.04,8.26,-0.08,0.4,-0.09,1721200934185
1.25,3.04,14.35,0.02,-0.04,-0.23,1721200934195
-4.49,2.93,0.45,0.02,-0.27,-0.04,1721200934205
-1.12,-4.65,14.11,-0.24,0.43,-0.01,1721200934215
